movie,year,imdb,metascore,votes,n_imdb
Fast Five,2011,7.30,66,351214,73
Friends with Benefits,2011,6.50,63,338783,65
Super 8,2011,7.00,72,337619,70
50/50,2011,7.60,72,314651,76
Hugo,2011,7.50,83,303857,75
Real Steel,2011,7.10,56,297316,71
Contagion,2011,6.70,70,280316,67
Bridesmaids,2011,6.80,75,267085,68
Green Lantern,2011,5.50,39,265983,55
Kung Fu Panda 2,2011,7.20,67,252434,72
Unknown,2011,6.80,56,247213,68
The Adjustment Bureau,2011,7.00,60,243242,70
The Grey,2011,6.80,64,239861,68
Rango,2011,7.20,75,235319,72
Paul,2011,7.00,57,234258,70
The Descendants,2011,7.30,84,232107,73
The Artist,2011,7.90,89,229832,79
Sucker Punch,2011,6.00,33,229397,60
I Am Number Four,2011,6.10,36,226897,61
The Twilight Saga: Breaking Dawn - Part 1,2011,4.90,45,223091,49
Just Go with It,2011,6.40,33,220484,64
A Separation,2011,8.30,95,218522,83
Harry Potter and the Deathly Hallows: Part 2,2011,8.10,85,759015,81
The Intouchables,2011,8.50,57,753301,85
Thor,2011,7.00,57,742951,70
Captain America: The First Avenger,2011,6.90,66,735862,69
X: First Class,2011,7.70,65,643584,77
Drive,2011,7.80,78,568235,78
Limitless,2011,7.40,59,525116,74
Rise of the Planet of the Apes,2011,7.60,68,494534,76
Source Code,2011,7.50,74,482714,75
Pirates of the Caribbean: On Stranger Tides,2011,6.60,45,479111,66
"Crazy, Stupid, Love.",2011,7.40,68,469994,74
The Hangover Part II,2011,6.50,44,462181,65
Mission: Impossible - Ghost Protocol,2011,7.40,73,455645,74
Warrior,2011,8.20,71,433974,82
The Help,2011,8.00,62,425977,80
Horrible Bosses,2011,6.90,57,420555,69
Sherlock Holmes: A Game of Shadows,2011,7.50,48,419239,75
The Girl with the Dragon Tattoo,2011,7.80,71,419227,78
Midnight in Paris,2011,7.70,81,386214,77
Transformers: Dark of the Moon,2011,6.20,42,383421,62
The Cabin in the Woods,2011,7.00,72,375160,70
In Time,2011,6.70,53,368653,67
Moneyball,2011,7.60,87,366877,76
Fast Five,2011,7.30,66,351214,73
Friends with Benefits,2011,6.50,63,338783,65
Super 8,2011,7.00,72,337619,70
50/50,2011,7.60,72,314651,76
Hugo,2011,7.50,83,303857,75
Real Steel,2011,7.10,56,297316,71
Contagion,2011,6.70,70,280316,67
Bridesmaids,2011,6.80,75,267085,68
Green Lantern,2011,5.50,39,265983,55
Kung Fu Panda 2,2011,7.20,67,252434,72
Unknown,2011,6.80,56,247213,68
The Adjustment Bureau,2011,7.00,60,243242,70
The Grey,2011,6.80,64,239861,68
Rango,2011,7.20,75,235319,72
Paul,2011,7.00,57,234258,70
The Descendants,2011,7.30,84,232107,73
The Artist,2011,7.90,89,229832,79
Sucker Punch,2011,6.00,33,229397,60
I Am Number Four,2011,6.10,36,226897,61
The Twilight Saga: Breaking Dawn - Part 1,2011,4.90,45,223091,49
Just Go with It,2011,6.40,33,220484,64
A Separation,2011,8.30,95,218522,83
The Dark Knight Rises,2012,8.40,78,1507915,84
Django Unchained,2012,8.40,81,1347846,84
The Avengers,2012,8.00,69,1255729,80
The Hunger Games,2012,7.20,68,841399,72
The Hobbit: An Unexpected Journey,2012,7.80,58,754203,78
Silver Linings Playbook,2012,7.70,81,658939,77
Skyfall,2012,7.70,81,628180,77
Life of Pi,2012,7.90,79,578082,79
Argo,2012,7.70,86,570256,77
Ted,2012,6.90,62,568034,69
Prometheus,2012,7.00,64,566853,70
The Amazing Spider-Man,2012,6.90,66,556700,69
Looper,2012,7.40,84,532699,74
21 Jump Street,2012,7.20,69,508688,72
The Perks of Being a Wallflower,2012,8.00,67,459681,80
Wreck-It Ralph,2012,7.70,72,378027,77
Brave,2012,7.10,69,371001,71
Cloud Atlas,2012,7.40,55,343823,74
Men in Black 3,2012,6.80,58,334109,68
Flight,2012,7.30,76,324477,73
Moonrise Kingdom,2012,7.80,84,317151,78
Les Misérables,2012,7.60,63,307498,76
Jack Reacher,2012,7.00,50,307190,70
The Expendables 2,2012,6.60,51,291235,66
Taken 2,2012,6.30,45,288593,63
The Bourne Legacy,2012,6.60,61,284127,66
The Hunt,2012,8.30,77,278235,83
The Dictator,2012,6.40,58,277092,64
Pitch Perfect,2012,7.10,66,275763,71
Snow White and the Huntsman,2012,6.10,57,272637,61
Zero Dark Thirty,2012,7.40,95,270574,74
John Carter,2012,6.60,51,254161,66
Dredd,2012,7.10,60,250022,71
Dark Shadows,2012,6.20,55,246662,62
The Place Beyond the Pines,2012,7.30,68,245310,73
Lincoln,2012,7.30,86,243664,73
Seven Psychopaths,2012,7.20,66,240212,72
Total Recall,2012,6.30,43,239609,63
Chronicle,2012,7.00,69,239158,70
Battleship,2012,5.80,41,235717,58
The Twilight Saga: Breaking Dawn - Part 2,2012,5.50,52,230576,55
Lawless,2012,7.30,58,227204,73
End of Watch,2012,7.60,68,227157,76
Hotel Transylvania,2012,7.10,47,223304,71
Sinister,2012,6.80,53,220774,68
Safe House,2012,6.70,52,205341,67
American Reunion,2012,6.70,49,202366,67
The Impossible,2012,7.60,73,199412,76
Ice Age: Continental Drift,2012,6.60,49,190957,66
The Dark Knight Rises,2012,8.40,78,1507915,84
Django Unchained,2012,8.40,81,1347846,84
The Avengers,2012,8.00,69,1255729,80
The Hunger Games,2012,7.20,68,841399,72
The Hobbit: An Unexpected Journey,2012,7.80,58,754203,78
Silver Linings Playbook,2012,7.70,81,658939,77
Skyfall,2012,7.70,81,628180,77
Life of Pi,2012,7.90,79,578082,79
Argo,2012,7.70,86,570256,77
Ted,2012,6.90,62,568034,69
Prometheus,2012,7.00,64,566853,70
The Amazing Spider-Man,2012,6.90,66,556700,69
Looper,2012,7.40,84,532699,74
21 Jump Street,2012,7.20,69,508688,72
The Perks of Being a Wallflower,2012,8.00,67,459681,80
Wreck-It Ralph,2012,7.70,72,378027,77
Brave,2012,7.10,69,371001,71
Cloud Atlas,2012,7.40,55,343823,74
Men in Black 3,2012,6.80,58,334109,68
Flight,2012,7.30,76,324477,73
Moonrise Kingdom,2012,7.80,84,317151,78
Les Misérables,2012,7.60,63,307498,76
Jack Reacher,2012,7.00,50,307190,70
The Expendables 2,2012,6.60,51,291235,66
Taken 2,2012,6.30,45,288593,63
The Bourne Legacy,2012,6.60,61,284127,66
The Hunt,2012,8.30,77,278235,83
The Dictator,2012,6.40,58,277092,64
Pitch Perfect,2012,7.10,66,275763,71
Snow White and the Huntsman,2012,6.10,57,272637,61
Zero Dark Thirty,2012,7.40,95,270574,74
John Carter,2012,6.60,51,254161,66
Dredd,2012,7.10,60,250022,71
Dark Shadows,2012,6.20,55,246662,62
The Place Beyond the Pines,2012,7.30,68,245310,73
Lincoln,2012,7.30,86,243664,73
Seven Psychopaths,2012,7.20,66,240212,72
Total Recall,2012,6.30,43,239609,63
Chronicle,2012,7.00,69,239158,70
Battleship,2012,5.80,41,235717,58
The Twilight Saga: Breaking Dawn - Part 2,2012,5.50,52,230576,55
Lawless,2012,7.30,58,227204,73
End of Watch,2012,7.60,68,227157,76
Hotel Transylvania,2012,7.10,47,223304,71
Sinister,2012,6.80,53,220774,68
Safe House,2012,6.70,52,205341,67
American Reunion,2012,6.70,49,202366,67
The Impossible,2012,7.60,73,199412,76
Ice Age: Continental Drift,2012,6.60,49,190957,66
The Dark Knight Rises,2012,8.40,78,1507915,84
Django Unchained,2012,8.40,81,1347846,84
The Avengers,2012,8.00,69,1255729,80
The Hunger Games,2012,7.20,68,841399,72
The Hobbit: An Unexpected Journey,2012,7.80,58,754203,78
Silver Linings Playbook,2012,7.70,81,658939,77
Skyfall,2012,7.70,81,628180,77
Life of Pi,2012,7.90,79,578082,79
Argo,2012,7.70,86,570256,77
Ted,2012,6.90,62,568034,69
Prometheus,2012,7.00,64,566853,70
The Amazing Spider-Man,2012,6.90,66,556700,69
Looper,2012,7.40,84,532699,74
21 Jump Street,2012,7.20,69,508688,72
The Perks of Being a Wallflower,2012,8.00,67,459681,80
Wreck-It Ralph,2012,7.70,72,378027,77
Brave,2012,7.10,69,371001,71
Cloud Atlas,2012,7.40,55,343823,74
Men in Black 3,2012,6.80,58,334109,68
Flight,2012,7.30,76,324477,73
Moonrise Kingdom,2012,7.80,84,317151,78
Les Misérables,2012,7.60,63,307498,76
Jack Reacher,2012,7.00,50,307190,70
The Expendables 2,2012,6.60,51,291235,66
Taken 2,2012,6.30,45,288593,63
The Bourne Legacy,2012,6.60,61,284127,66
The Hunt,2012,8.30,77,278235,83
The Dictator,2012,6.40,58,277092,64
Pitch Perfect,2012,7.10,66,275763,71
Snow White and the Huntsman,2012,6.10,57,272637,61
Zero Dark Thirty,2012,7.40,95,270574,74
John Carter,2012,6.60,51,254161,66
Dredd,2012,7.10,60,250022,71
Dark Shadows,2012,6.20,55,246662,62
The Place Beyond the Pines,2012,7.30,68,245310,73
Lincoln,2012,7.30,86,243664,73
Seven Psychopaths,2012,7.20,66,240212,72
Total Recall,2012,6.30,43,239609,63
Chronicle,2012,7.00,69,239158,70
Battleship,2012,5.80,41,235717,58
The Twilight Saga: Breaking Dawn - Part 2,2012,5.50,52,230576,55
Lawless,2012,7.30,58,227204,73
End of Watch,2012,7.60,68,227157,76
Hotel Transylvania,2012,7.10,47,223304,71
Sinister,2012,6.80,53,220774,68
Safe House,2012,6.70,52,205341,67
American Reunion,2012,6.70,49,202366,67
The Impossible,2012,7.60,73,199412,76
Ice Age: Continental Drift,2012,6.60,49,190957,66
The Dark Knight Rises,2012,8.40,78,1507915,84
Django Unchained,2012,8.40,81,1347846,84
The Avengers,2012,8.00,69,1255729,80
The Hunger Games,2012,7.20,68,841399,72
The Hobbit: An Unexpected Journey,2012,7.80,58,754203,78
Silver Linings Playbook,2012,7.70,81,658939,77
Skyfall,2012,7.70,81,628180,77
Life of Pi,2012,7.90,79,578082,79
Argo,2012,7.70,86,570256,77
Ted,2012,6.90,62,568034,69
Prometheus,2012,7.00,64,566853,70
The Amazing Spider-Man,2012,6.90,66,556700,69
Looper,2012,7.40,84,532699,74
21 Jump Street,2012,7.20,69,508688,72
The Perks of Being a Wallflower,2012,8.00,67,459681,80
Wreck-It Ralph,2012,7.70,72,378027,77
Brave,2012,7.10,69,371001,71
Cloud Atlas,2012,7.40,55,343823,74
Men in Black 3,2012,6.80,58,334109,68
Flight,2012,7.30,76,324477,73
Moonrise Kingdom,2012,7.80,84,317151,78
Les Misérables,2012,7.60,63,307498,76
Jack Reacher,2012,7.00,50,307190,70
The Expendables 2,2012,6.60,51,291235,66
Taken 2,2012,6.30,45,288593,63
The Bourne Legacy,2012,6.60,61,284127,66
The Hunt,2012,8.30,77,278235,83
The Dictator,2012,6.40,58,277092,64
Pitch Perfect,2012,7.10,66,275763,71
Snow White and the Huntsman,2012,6.10,57,272637,61
Zero Dark Thirty,2012,7.40,95,270574,74
John Carter,2012,6.60,51,254161,66
Dredd,2012,7.10,60,250022,71
Dark Shadows,2012,6.20,55,246662,62
The Place Beyond the Pines,2012,7.30,68,245310,73
Lincoln,2012,7.30,86,243664,73
Seven Psychopaths,2012,7.20,66,240212,72
Total Recall,2012,6.30,43,239609,63
Chronicle,2012,7.00,69,239158,70
Battleship,2012,5.80,41,235717,58
The Twilight Saga: Breaking Dawn - Part 2,2012,5.50,52,230576,55
Lawless,2012,7.30,58,227204,73
End of Watch,2012,7.60,68,227157,76
Hotel Transylvania,2012,7.10,47,223304,71
Sinister,2012,6.80,53,220774,68
Safe House,2012,6.70,52,205341,67
American Reunion,2012,6.70,49,202366,67
The Impossible,2012,7.60,73,199412,76
Ice Age: Continental Drift,2012,6.60,49,190957,66
The Wolf of Wall Street,2013,8.20,75,1173645,82
Gravity,2013,7.70,96,766075,77
Iron Man Three,2013,7.10,62,751388,71
Man of Steel,2013,7.00,55,688042,70
12 Years a Slave,2013,8.10,96,636570,81
The Hunger Games: Catching Fire,2013,7.50,76,611287,75
World War Z,2013,7.00,63,599061,70
The Hobbit: The Desolation of Smaug,2013,7.80,66,598428,78
Prisoners,2013,8.10,70,596140,81
Now You See Me,2013,7.30,50,593744,73
Thor: The Dark World,2013,6.90,54,592219,69
Frozen,2013,7.40,75,569885,74
Her,2013,8.00,90,536869,80
Oblivion,2013,7.00,54,484282,70
The Great Gatsby,2013,7.20,55,475596,72
Pacific Rim,2013,6.90,65,464123,69
Star Trek Into Darkness,2013,7.70,72,462092,77
American Hustle,2013,7.20,90,446875,72
The Conjuring,2013,7.50,68,439988,75
Dallas Buyers Club,2013,8.00,80,438638,80
Rush,2013,8.10,74,430567,81
The Wolverine,2013,6.70,61,428017,67
Captain Phillips,2013,7.80,82,418694,78
Elysium,2013,6.60,61,417990,66
We're the Millers,2013,7.00,44,402327,70
This Is the End,2013,6.60,67,382616,66
Despicable Me 2,2013,7.30,62,368274,73
Furious 6,2013,7.10,61,367130,71
Monsters University,2013,7.30,65,320288,73
Snowpiercer,2013,7.10,84,316339,71
About Time,2013,7.80,55,299870,78
The Secret Life of Walter Mitty,2013,7.30,54,292263,73
The Hangover Part III,2013,5.80,30,292090,58
Lone Survivor,2013,7.50,60,265151,75
The World's End,2013,7.00,81,258951,70
Olympus Has Fallen,2013,6.50,41,256083,65
Kick-Ass 2,2013,6.50,41,253974,65
Don Jon,2013,6.50,66,228102,65
Escape Plan,2013,6.70,49,226408,67
Ender's Game,2013,6.60,51,222598,66
The Lone Ranger,2013,6.40,37,220609,64
Warm Bodies,2013,6.80,60,218664,68
Gangster Squad,2013,6.70,40,205924,67
The Wolf of Wall Street,2013,8.20,75,1173645,82
Gravity,2013,7.70,96,766075,77
Iron Man Three,2013,7.10,62,751388,71
Man of Steel,2013,7.00,55,688042,70
12 Years a Slave,2013,8.10,96,636570,81
The Hunger Games: Catching Fire,2013,7.50,76,611287,75
World War Z,2013,7.00,63,599061,70
The Hobbit: The Desolation of Smaug,2013,7.80,66,598428,78
Prisoners,2013,8.10,70,596140,81
Now You See Me,2013,7.30,50,593744,73
Thor: The Dark World,2013,6.90,54,592219,69
Frozen,2013,7.40,75,569885,74
Her,2013,8.00,90,536869,80
Oblivion,2013,7.00,54,484282,70
The Great Gatsby,2013,7.20,55,475596,72
Pacific Rim,2013,6.90,65,464123,69
Star Trek Into Darkness,2013,7.70,72,462092,77
American Hustle,2013,7.20,90,446875,72
The Conjuring,2013,7.50,68,439988,75
Dallas Buyers Club,2013,8.00,80,438638,80
Rush,2013,8.10,74,430567,81
The Wolverine,2013,6.70,61,428017,67
Captain Phillips,2013,7.80,82,418694,78
Elysium,2013,6.60,61,417990,66
We're the Millers,2013,7.00,44,402327,70
This Is the End,2013,6.60,67,382616,66
Despicable Me 2,2013,7.30,62,368274,73
Furious 6,2013,7.10,61,367130,71
Monsters University,2013,7.30,65,320288,73
Snowpiercer,2013,7.10,84,316339,71
About Time,2013,7.80,55,299870,78
The Secret Life of Walter Mitty,2013,7.30,54,292263,73
The Hangover Part III,2013,5.80,30,292090,58
Lone Survivor,2013,7.50,60,265151,75
The World's End,2013,7.00,81,258951,70
Olympus Has Fallen,2013,6.50,41,256083,65
Kick-Ass 2,2013,6.50,41,253974,65
Don Jon,2013,6.50,66,228102,65
Escape Plan,2013,6.70,49,226408,67
Ender's Game,2013,6.60,51,222598,66
The Lone Ranger,2013,6.40,37,220609,64
Warm Bodies,2013,6.80,60,218664,68
Gangster Squad,2013,6.70,40,205924,67
The Wolf of Wall Street,2013,8.20,75,1173645,82
Gravity,2013,7.70,96,766075,77
Iron Man Three,2013,7.10,62,751388,71
Man of Steel,2013,7.00,55,688042,70
12 Years a Slave,2013,8.10,96,636570,81
The Hunger Games: Catching Fire,2013,7.50,76,611287,75
World War Z,2013,7.00,63,599061,70
The Hobbit: The Desolation of Smaug,2013,7.80,66,598428,78
Prisoners,2013,8.10,70,596140,81
Now You See Me,2013,7.30,50,593744,73
Thor: The Dark World,2013,6.90,54,592219,69
Frozen,2013,7.40,75,569885,74
Her,2013,8.00,90,536869,80
Oblivion,2013,7.00,54,484282,70
The Great Gatsby,2013,7.20,55,475596,72
Pacific Rim,2013,6.90,65,464123,69
Star Trek Into Darkness,2013,7.70,72,462092,77
American Hustle,2013,7.20,90,446875,72
The Conjuring,2013,7.50,68,439988,75
Dallas Buyers Club,2013,8.00,80,438638,80
Rush,2013,8.10,74,430567,81
The Wolverine,2013,6.70,61,428017,67
Captain Phillips,2013,7.80,82,418694,78
Elysium,2013,6.60,61,417990,66
We're the Millers,2013,7.00,44,402327,70
This Is the End,2013,6.60,67,382616,66
Despicable Me 2,2013,7.30,62,368274,73
Furious 6,2013,7.10,61,367130,71
Monsters University,2013,7.30,65,320288,73
Snowpiercer,2013,7.10,84,316339,71
About Time,2013,7.80,55,299870,78
The Secret Life of Walter Mitty,2013,7.30,54,292263,73
The Hangover Part III,2013,5.80,30,292090,58
Lone Survivor,2013,7.50,60,265151,75
The World's End,2013,7.00,81,258951,70
Olympus Has Fallen,2013,6.50,41,256083,65
Kick-Ass 2,2013,6.50,41,253974,65
Don Jon,2013,6.50,66,228102,65
Escape Plan,2013,6.70,49,226408,67
Ender's Game,2013,6.60,51,222598,66
The Lone Ranger,2013,6.40,37,220609,64
Warm Bodies,2013,6.80,60,218664,68
Gangster Squad,2013,6.70,40,205924,67
The Wolf of Wall Street,2013,8.20,75,1173645,82
Gravity,2013,7.70,96,766075,77
Iron Man Three,2013,7.10,62,751388,71
Man of Steel,2013,7.00,55,688042,70
12 Years a Slave,2013,8.10,96,636570,81
The Hunger Games: Catching Fire,2013,7.50,76,611287,75
World War Z,2013,7.00,63,599061,70
The Hobbit: The Desolation of Smaug,2013,7.80,66,598428,78
Prisoners,2013,8.10,70,596140,81
Now You See Me,2013,7.30,50,593744,73
Thor: The Dark World,2013,6.90,54,592219,69
Frozen,2013,7.40,75,569885,74
Her,2013,8.00,90,536869,80
Oblivion,2013,7.00,54,484282,70
The Great Gatsby,2013,7.20,55,475596,72
Pacific Rim,2013,6.90,65,464123,69
Star Trek Into Darkness,2013,7.70,72,462092,77
American Hustle,2013,7.20,90,446875,72
The Conjuring,2013,7.50,68,439988,75
Dallas Buyers Club,2013,8.00,80,438638,80
Rush,2013,8.10,74,430567,81
The Wolverine,2013,6.70,61,428017,67
Captain Phillips,2013,7.80,82,418694,78
Elysium,2013,6.60,61,417990,66
We're the Millers,2013,7.00,44,402327,70
This Is the End,2013,6.60,67,382616,66
Despicable Me 2,2013,7.30,62,368274,73
Furious 6,2013,7.10,61,367130,71
Monsters University,2013,7.30,65,320288,73
Snowpiercer,2013,7.10,84,316339,71
About Time,2013,7.80,55,299870,78
The Secret Life of Walter Mitty,2013,7.30,54,292263,73
The Hangover Part III,2013,5.80,30,292090,58
Lone Survivor,2013,7.50,60,265151,75
The World's End,2013,7.00,81,258951,70
Olympus Has Fallen,2013,6.50,41,256083,65
Kick-Ass 2,2013,6.50,41,253974,65
Don Jon,2013,6.50,66,228102,65
Escape Plan,2013,6.70,49,226408,67
Ender's Game,2013,6.60,51,222598,66
The Lone Ranger,2013,6.40,37,220609,64
Warm Bodies,2013,6.80,60,218664,68
Gangster Squad,2013,6.70,40,205924,67
Interstellar,2014,8.60,74,1497438,86
Guardians of the Galaxy,2014,8.00,76,1038270,80
Gone Girl,2014,8.10,79,853458,81
Captain America: The Winter Soldier,2014,7.70,70,731792,77
Whiplash,2014,8.50,88,710884,85
The Grand Budapest Hotel,2014,8.10,88,702467,81
The Imitation Game,2014,8.00,73,680992,80
X-Men: Days of Future Past,2014,7.90,75,657611,79
Edge of Tomorrow,2014,7.90,71,596944,79
Kingsman: The Secret Service,2014,7.70,60,587869,77
Birdman or (The Unexpected Virtue of Ignorance),2014,7.70,87,577051,77
John Wick,2014,7.40,68,534395,74
The Hobbit: The Battle of the Five Armies,2014,7.40,59,471764,74
Ex Machina,2014,7.70,78,471446,77
Nightcrawler,2014,7.90,76,461880,79
Lucy,2014,6.40,61,443962,64
American Sniper,2014,7.30,72,437213,73
Divergent,2014,6.60,48,424209,66
Fury,2014,7.60,64,423423,76
The Maze Runner,2014,6.80,57,415292,68
The Amazing Spider-Man 2,2014,6.60,53,415099,66
The Hunger Games: Mockingjay - Part 1,2014,6.60,64,411888,66
Dawn of the Planet of the Apes,2014,7.60,79,410439,76
Big Hero 6,2014,7.80,74,408524,78
The Theory of Everything,2014,7.70,72,401371,77
Godzilla,2014,6.40,62,373356,64
22 Jump Street,2014,7.00,71,344275,70
Maleficent,2014,7.00,56,342878,70
The Fault in Our Stars,2014,7.70,69,342629,77
Boyhood,2014,7.90,100,334382,79
The Equalizer,2014,7.20,57,331636,72
The Lego Movie,2014,7.70,83,322919,77
The Interview,2014,6.50,52,305426,65
How to Train Your Dragon 2,2014,7.80,76,303810,78
Transformers: Age of Extinction,2014,5.60,32,297211,56
Neighbors,2014,6.30,68,285634,63
300: Rise of an Empire,2014,6.20,48,280041,62
Predestination,2014,7.50,69,251151,75
Non-Stop,2014,6.90,56,249334,69
Noah,2014,5.70,68,242563,57
Transcendence,2014,6.30,42,216255,63
RoboCop,2014,6.10,52,215541,61
It Follows,2014,6.80,83,209240,68
Teenage Mutant Ninja Turtles,2014,5.80,31,200351,58
The Babadook,2014,6.80,86,195810,68
Interstellar,2014,8.60,74,1497438,86
Guardians of the Galaxy,2014,8.00,76,1038270,80
Gone Girl,2014,8.10,79,853458,81
Captain America: The Winter Soldier,2014,7.70,70,731792,77
Whiplash,2014,8.50,88,710884,85
The Grand Budapest Hotel,2014,8.10,88,702467,81
The Imitation Game,2014,8.00,73,680992,80
X-Men: Days of Future Past,2014,7.90,75,657611,79
Edge of Tomorrow,2014,7.90,71,596944,79
Kingsman: The Secret Service,2014,7.70,60,587869,77
Birdman or (The Unexpected Virtue of Ignorance),2014,7.70,87,577051,77
John Wick,2014,7.40,68,534395,74
The Hobbit: The Battle of the Five Armies,2014,7.40,59,471764,74
Ex Machina,2014,7.70,78,471446,77
Nightcrawler,2014,7.90,76,461880,79
Lucy,2014,6.40,61,443962,64
American Sniper,2014,7.30,72,437213,73
Divergent,2014,6.60,48,424209,66
Fury,2014,7.60,64,423423,76
The Maze Runner,2014,6.80,57,415292,68
The Amazing Spider-Man 2,2014,6.60,53,415099,66
The Hunger Games: Mockingjay - Part 1,2014,6.60,64,411888,66
Dawn of the Planet of the Apes,2014,7.60,79,410439,76
Big Hero 6,2014,7.80,74,408524,78
The Theory of Everything,2014,7.70,72,401371,77
Godzilla,2014,6.40,62,373356,64
22 Jump Street,2014,7.00,71,344275,70
Maleficent,2014,7.00,56,342878,70
The Fault in Our Stars,2014,7.70,69,342629,77
Boyhood,2014,7.90,100,334382,79
The Equalizer,2014,7.20,57,331636,72
The Lego Movie,2014,7.70,83,322919,77
The Interview,2014,6.50,52,305426,65
How to Train Your Dragon 2,2014,7.80,76,303810,78
Transformers: Age of Extinction,2014,5.60,32,297211,56
Neighbors,2014,6.30,68,285634,63
300: Rise of an Empire,2014,6.20,48,280041,62
Predestination,2014,7.50,69,251151,75
Non-Stop,2014,6.90,56,249334,69
Noah,2014,5.70,68,242563,57
Transcendence,2014,6.30,42,216255,63
RoboCop,2014,6.10,52,215541,61
It Follows,2014,6.80,83,209240,68
Teenage Mutant Ninja Turtles,2014,5.80,31,200351,58
The Babadook,2014,6.80,86,195810,68
Interstellar,2014,8.60,74,1497438,86
Guardians of the Galaxy,2014,8.00,76,1038270,80
Gone Girl,2014,8.10,79,853458,81
Captain America: The Winter Soldier,2014,7.70,70,731792,77
Whiplash,2014,8.50,88,710884,85
The Grand Budapest Hotel,2014,8.10,88,702467,81
The Imitation Game,2014,8.00,73,680992,80
X-Men: Days of Future Past,2014,7.90,75,657611,79
Edge of Tomorrow,2014,7.90,71,596944,79
Kingsman: The Secret Service,2014,7.70,60,587869,77
Birdman or (The Unexpected Virtue of Ignorance),2014,7.70,87,577051,77
John Wick,2014,7.40,68,534395,74
The Hobbit: The Battle of the Five Armies,2014,7.40,59,471764,74
Ex Machina,2014,7.70,78,471446,77
Nightcrawler,2014,7.90,76,461880,79
Lucy,2014,6.40,61,443962,64
American Sniper,2014,7.30,72,437213,73
Divergent,2014,6.60,48,424209,66
Fury,2014,7.60,64,423423,76
The Maze Runner,2014,6.80,57,415292,68
The Amazing Spider-Man 2,2014,6.60,53,415099,66
The Hunger Games: Mockingjay - Part 1,2014,6.60,64,411888,66
Dawn of the Planet of the Apes,2014,7.60,79,410439,76
Big Hero 6,2014,7.80,74,408524,78
The Theory of Everything,2014,7.70,72,401371,77
Godzilla,2014,6.40,62,373356,64
22 Jump Street,2014,7.00,71,344275,70
Maleficent,2014,7.00,56,342878,70
The Fault in Our Stars,2014,7.70,69,342629,77
Boyhood,2014,7.90,100,334382,79
The Equalizer,2014,7.20,57,331636,72
The Lego Movie,2014,7.70,83,322919,77
The Interview,2014,6.50,52,305426,65
How to Train Your Dragon 2,2014,7.80,76,303810,78
Transformers: Age of Extinction,2014,5.60,32,297211,56
Neighbors,2014,6.30,68,285634,63
300: Rise of an Empire,2014,6.20,48,280041,62
Predestination,2014,7.50,69,251151,75
Non-Stop,2014,6.90,56,249334,69
Noah,2014,5.70,68,242563,57
Transcendence,2014,6.30,42,216255,63
RoboCop,2014,6.10,52,215541,61
It Follows,2014,6.80,83,209240,68
Teenage Mutant Ninja Turtles,2014,5.80,31,200351,58
The Babadook,2014,6.80,86,195810,68
Interstellar,2014,8.60,74,1497438,86
Guardians of the Galaxy,2014,8.00,76,1038270,80
Gone Girl,2014,8.10,79,853458,81
Captain America: The Winter Soldier,2014,7.70,70,731792,77
Whiplash,2014,8.50,88,710884,85
The Grand Budapest Hotel,2014,8.10,88,702467,81
The Imitation Game,2014,8.00,73,680992,80
X-Men: Days of Future Past,2014,7.90,75,657611,79
Edge of Tomorrow,2014,7.90,71,596944,79
Kingsman: The Secret Service,2014,7.70,60,587869,77
Birdman or (The Unexpected Virtue of Ignorance),2014,7.70,87,577051,77
John Wick,2014,7.40,68,534395,74
The Hobbit: The Battle of the Five Armies,2014,7.40,59,471764,74
Ex Machina,2014,7.70,78,471446,77
Nightcrawler,2014,7.90,76,461880,79
Lucy,2014,6.40,61,443962,64
American Sniper,2014,7.30,72,437213,73
Divergent,2014,6.60,48,424209,66
Fury,2014,7.60,64,423423,76
The Maze Runner,2014,6.80,57,415292,68
The Amazing Spider-Man 2,2014,6.60,53,415099,66
The Hunger Games: Mockingjay - Part 1,2014,6.60,64,411888,66
Dawn of the Planet of the Apes,2014,7.60,79,410439,76
Big Hero 6,2014,7.80,74,408524,78
The Theory of Everything,2014,7.70,72,401371,77
Godzilla,2014,6.40,62,373356,64
22 Jump Street,2014,7.00,71,344275,70
Maleficent,2014,7.00,56,342878,70
The Fault in Our Stars,2014,7.70,69,342629,77
Boyhood,2014,7.90,100,334382,79
The Equalizer,2014,7.20,57,331636,72
The Lego Movie,2014,7.70,83,322919,77
The Interview,2014,6.50,52,305426,65
How to Train Your Dragon 2,2014,7.80,76,303810,78
Transformers: Age of Extinction,2014,5.60,32,297211,56
Neighbors,2014,6.30,68,285634,63
300: Rise of an Empire,2014,6.20,48,280041,62
Predestination,2014,7.50,69,251151,75
Non-Stop,2014,6.90,56,249334,69
Noah,2014,5.70,68,242563,57
Transcendence,2014,6.30,42,216255,63
RoboCop,2014,6.10,52,215541,61
It Follows,2014,6.80,83,209240,68
Teenage Mutant Ninja Turtles,2014,5.80,31,200351,58
The Babadook,2014,6.80,86,195810,68
Mad Max: Fury Road,2015,8.10,90,875767,81
Star Wars: Episode VII - The Force Awakens,2015,7.90,80,856835,79
The Martian,2015,8.00,80,755388,80
Avengers: Age of Ultron,2015,7.30,66,736312,73
The Revenant,2015,8.00,76,700260,80
Inside Out,2015,8.10,94,609224,81
Jurassic World,2015,7.00,59,577021,70
