book_id,isbn,authors,original_publication_year,original_title,language_code,rating,ratings_count
1,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng,4.54,1678823
7624,140283331,William Golding,1954,Lord of the Flies ,eng,3.64,1605019
18135,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73,1628519
8442457,297859382,Gillian Flynn,2012,Gone Girl,eng,4.03,512475
4667024,399155341,Kathryn Stockett,2009,The Help,eng,4.45,1531753
890,142000671,John Steinbeck,1937,Of Mice and Men ,eng,3.84,1467496
930,739326228,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209
10818853,1612130291,E.L. James,2011,Fifty Shades of Grey,eng,3.67,1338493
865,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng,3.82,1299566
3636,385732554,Lois Lowry,1993,The Giver,eng,4.12,1296825
100915,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4.19,1531800
14050,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287
13496,553588486,George R.R. Martin,1996,A Game of Thrones,eng,4.45,1319204
19501,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,1181647
28187,786838655,Rick Riordan,2005,The Lightning Thief,eng,4.23,1366265
1934,451529308,Louisa May Alcott,1868,Little Women,en-US,4.04,1257121
10210,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557
15931,553816713,Nicholas Sparks,1996,The Notebook,eng,4.06,1053403
4214,770430074,Yann Martel,2001,Life of Pi,,3.88,1003228
43641,1565125606,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146
19063,375831002,Markus Zusak,2005,The Book Thief,eng,4.36,1159741
4381,307347974,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498
49041,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630
30119,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888
256683,1416914285,Cassandra Clare,2007,City of Bones,eng,4.12,1154031
428263,316160202,Stephenie Meyer,2007,Eclipse,en-US,3.69,1134511
113436,375826696,Christopher Paolini,2002,Eragon,en-US,3.86,1104021
11,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.2,936782
5129,60929871,Aldous Huxley,1932,Brave New World,eng,3.97,1022601
1162543,031606792X,Stephenie Meyer,2008,Breaking Dawn,en-US,3.7,1070245
37435,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189
2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758
24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521
1618,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553
22557272,1594633665,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778
119322,679879242,Philip Pullman,1995,Northern Lights,eng,3.94,953970
6185,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195
10917,743454537,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879
4981,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,846488
18405,446675539,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981
128029,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742
22628,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806
11735983,7442912,Veronica Roth,2012,Insurgent,eng,4.07,836362
375802,812550706,Orson Scott Card,1985,Ender's Game,eng,4.3,813439
18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",eng,3.75,808589
11588,450040186,Stephen King,1977,The Shining,eng,4.17,791850
1656001,316068047,Stephenie Meyer,2008,The Host,en-US,3.84,749780
99561,142402516,John Green,2005,Looking for Alaska,eng,4.09,783470
227443,014028009X,Helen Fielding,1996,,eng,3.75,736498
14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894
38709,439244196,"Louis Sachar, Louis Sachar",1998,Holes,eng,3.93,747445
5139,307275558,Lauren Weisberger,2003,The Devil Wears Prada,eng,3.7,665930
1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,eng,3.73,670326
157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,eng,4.28,738757
7445,074324754X,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099
1845,385486804,Jon Krakauer,1996,Into the Wild,eng,3.94,647684
1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412
7677,030734813X,Michael Crichton,1990,Jurassic Park,spa,3.96,447833
370493,60256656,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332
32542,385338600,John Grisham,1989,A Time to Kill,eng,4.03,597775
1617,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng,4.3,691231
6442769,014241493X,John Green,2008,Paper Towns,en-US,3.88,461311
21787,345418263,William Goldman,1973,The Princess Bride,en-US,4.25,628637
231804,014038572X,S.E. Hinton,1967,The Outsiders,en-US,4.06,659248
6186357,385737947,James Dashner,2009,The Maze Runner,eng,4.02,719925
1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93,524191
2998,517189607,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357
320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng,4.04,490565
5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014
13536860,345803507,E.L. James,2012,Fifty Shades Freed,eng,3.88,387290
17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973
5060378,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng,4.22,563994
11857408,1612130585,E.L. James,2011,Fifty Shades Darker,eng,3.87,552059
7244,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502
4137,349113912,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736
19543,99408392,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618
7126,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,eng,4.21,555822
6288,307265439,Cormac McCarthy,2006,The Road,eng,3.95,504793
18710190,7524277,Veronica Roth,2013,Allegiant,eng,3.63,463257
9418327,,Tina Fey,2011,Bossypants,eng,3.94,506250
3473,446693804,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948
9416,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,3.61,543658
24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407
10572,553381695,George R.R. Martin,1998,A Clash of Kings,eng,4.4,523303
10441,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430
15507958,670026603,Jojo Moyes,2012,Me Before You,eng,4.27,587647
168668,684833395,Joseph Heller,1961,Catch-22,en-US,3.98,563265
6900,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518
2187,312422156,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243
24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359
18131,440498058,Madeleine L'Engle,1962,A Wrinkle in Time,en-US,4.04,615907
7763,143038095,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090
38447,038549081X,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889
452306,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,eng,3.75,525706
7604,,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,469836
37442,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,506900
5358,582418275,John Grisham,1991,The Firm,eng,3.99,488269
7937843,316098337,Emma Donoghue,2010,Room,eng,4.03,511360
1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,4,515820
234225,340839937,Frank Herbert,1965,Dune,eng,4.19,485032
2612,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504
11084145,1451648537,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715
332613,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642
2165,684830493,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630
4395,142000663,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321
3431,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,,3.9,449501
8127,451528824,L.M. Montgomery,1908,Anne of Green Gables,eng,4.23,502247
3777732,1416914307,Cassandra Clare,2009,City of Glass,en-US,4.34,593173
62291,055357342X,George R.R. Martin,2000,A Storm of Swords,eng,4.54,469022
137791,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676
10964,440242940,Diana Gabaldon,1991,Outlander,eng,4.2,515547
12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,509883
9460487,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,en-US,3.89,613674
6892870,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,en-US,4.2,443951
18007564,804139024,Andy Weir,2012,The Martian,eng,4.39,423344
5043,451207149,Ken Follett,1989,The Pillars of the Earth,eng,4.29,462517
18143977,1476746583,Anthony Doerr,2014,,eng,4.31,470001
8664353,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775
976,671027387,Dan Brown,2001,Deception Point,eng,3.67,455610
17333223,316055433,Donna Tartt,2013,The Goldfinch,eng,3.87,396756
1217100,1595141715,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783
2865,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577
4374400,525421033,Gayle Forman,2009,If I Stay,en-US,3.96,503527
4989,312353766,Anita Diamant,1997,The Red Tent,en-US,4.16,424981
28186,786856866,Rick Riordan,2006,The Sea of Monsters,eng,4.23,514932
5526,446528056,Nicholas Sparks,2006,Dear John,en-US,4.01,441062
1582996,1416914293,Cassandra Clare,2008,City of Ashes,eng,4.21,541117
8852,743477103,William Shakespeare,1606,The Tragedy of Macbeth,eng,3.88,496018
15241,618346260,J.R.R. Tolkien,1954,The Two Towers,en-US,4.42,480446
42156,031232118X,Emily Giffin,2004,Something Borrowed,eng,3.83,403601
23772,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,457475
6310,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,eng,4.1,453959
2120932,1423101464,Rick Riordan,2008,The Battle of the Labyrinth,eng,4.39,508214
2623,192833596,Charles Dickens,1860,Great Expectations,eng,3.75,459247
18512,345339738,J.R.R. Tolkien,1955,The Return of the King,en-US,4.51,463959
49552,,"Albert Camus, Matthew    Ward",1942,L’Étranger,eng,3.96,420600
7736182,142311339X,Rick Riordan,2010,The Lost Hero,eng,4.35,271576
15745753,1250012570,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,514312
13497,055358202X,George R.R. Martin,2005,A Feast for Crows,en-US,4.1,428186
7735333,525423648,Ally Condie,2010,Matched,eng,3.68,511815
4407,747263744,Neil Gaiman,2001,American Gods,eng,4.11,378019
149267,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,438832
6400090,446547565,Nicholas Sparks,2008,The Last Song,en-GB,4.14,424637
11125,552151696,Dan Brown,1998,Digital Fortress,en-GB,3.6,423019
6969,141439580,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,459826
15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,eng,4.02,297472
227463,393312836,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,431195
1812457,964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,eng,3.74,419539
4502507,739380338,Rick Riordan,2009,The Last Olympian,eng,4.5,397500
18342,451169514,Stephen King,1986,It,en-US,4.18,292592
7144,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,eng,4.18,380903
6514,61148512,Sylvia Plath,1963,The Bell Jar,en-US,3.98,401605
252577,7205236,Frank McCourt,1996,Angela's Ashes: A Memoir,eng,4.07,392103
52036,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,372099
168642,679745580,Truman Capote,1965,In Cold Blood,eng,4.05,381652
6304335,316042676,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,eng,3.76,436093
7171637,1416975861,Cassandra Clare,2010,Clockwork Angel,eng,4.33,490890
39988,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,440743
9361589,385534639,Erin Morgenstern,2011,The Night Circus,eng,4.03,429543
37470,743227441,Philippa Gregory,2001,The Other Boleyn Girl,eng,4.04,381080
24770,689865384,Scott Westerfeld,2005,Uglies,eng,3.86,449073
10664113,,George R.R. Martin,2011,A Dance with Dragons,eng,4.31,365954
33,618640150,J.R.R. Tolkien,1955,The Lord of the Rings,eng,4.47,389054
12262741,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,eng,3.96,379872
472331,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,4.35,398018
186074,075640407X,Patrick Rothfuss,2007,The Name of the Wind,eng,4.55,400101
3228917,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,4.11,353011
153747,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale",eng,3.46,358050
2728527,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626
5759,393327345,Chuck Palahniuk,1996,Fight Club,eng,4.2,365349
301082,441008534,Charlaine Harris,2001,Dead Until Dark,en-US,3.96,420764
11486,671727796,Alice Walker,1982,The Color Purple,eng,4.17,376766
12691,739461192,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,eng,4.12,367304
16299,312330871,Agatha Christie,1939,Ten Little Niggers,eng,4.23,408983
6411961,385504225,Dan Brown,2009,The Lost Symbol,eng,3.66,369428
6339664,1416989412,Becca Fitzpatrick,2009,"Hush, Hush",en-US,4,448166
11505797,,Jamie McGuire,2011,Beautiful Disaster,eng,4.15,418309
5326,1561797464,Charles Dickens,1843,A Christmas Carol,,4.02,394540
43763,345476875,Anne Rice,1976,Interview with the Vampire,eng,3.97,372566
10507293,62059939,Kiera Cass,2012,The Selection,en-US,4.15,505340
6853,312362080,Janet Evanovich,1994,One for the Money,en-US,4.03,391007
6493208,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4.04,377249
23807,99446782,Thomas Harris,1988,The Silence of the Lambs,eng,4.14,351107
345627,159514174X,Richelle Mead,2007,,en-US,4.14,248283
40102,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,en-US,3.89,348196
6867,038572179X,Ian McEwan,2001,Atonement,eng,3.88,347006
485894,553213695,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,eng,3.78,364933
561456,141382899,Rick Riordan,2007,The Titan's Curse,eng,4.33,446668
9969571,030788743X,Ernest Cline,2011,,eng,4.31,349423
3153910,1554681723,Garth Stein,2006,The Art of Racing in the Rain,eng,4.19,327409
21996,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",eng,3.98,309385
13572249,425263908,Sylvia Day,2012,Bared to You,eng,4.19,222678
11127,66238501,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,eng,4.24,376385
3609760,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,en-US,4.23,291411
60748,1558743669,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive",eng,4.08,311543
7869,752864327,Robert Ludlum,1980,The Bourne Identity,eng,3.98,327122
249747,786817879,Eoin Colfer,2001,Artemis Fowl,eng,3.82,386923
6487308,385738935,Lauren Kate,2009,Fallen,en-US,3.74,395296
4406,142000655,John Steinbeck,1952,East of Eden  ,eng,4.35,320919
5886881,307341569,Gillian Flynn,2009,Dark Places,eng,3.92,333452
5359,385339089,John Grisham,1993,The Client,eng,3.97,320083
228333,312291639,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,eng,3.4,323762
24213,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,eng,4.06,340920
2156,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,eng,4.13,365425
556602,312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,eng,4.14,312444
43615,452284694,Stephen King,1982,The Gunslinger,en-US,3.99,332494
9712,140003468X,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,eng,3.89,283806
439288,014131088X,Laurie Halse Anderson,1999,Speak,eng,4,360156
17802724,399159347,Liane Moriarty,2013,The Husband's Secret ,eng,3.92,232106
1898,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,en-US,4.11,291258
10592,1416524304,Stephen King,1974,Carrie,,3.93,356814
242006,031242227X,Augusten Burroughs,2002,Running with Scissors,en-US,3.7,293878
8908,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War,en-US,4.01,312969
17212231,385537859,Dan Brown,2013,Inferno,eng,3.8,287533
47281,440227534,Lois Lowry,1989,Number the Stars,eng,4.11,333638
13145,446692638,James Patterson,1993,Along Came a Spider,eng,4.08,311499
10614,450417395,Stephen King,1987,Misery,en-GB,4.11,334647
66559,307341542,Gillian Flynn,2006,Sharp Objects,en-US,3.92,207889
2839,439366771,Katherine Paterson,1977,Bridge to Terabithia,eng,3.98,337644
30183,312360266,"P.C. Cast, Kristin Cast",2007,Marked,en-US,3.79,360044
36072,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,en-US,4.05,314700
1622,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,eng,3.94,334241
4588,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,en-US,3.97,294726
11387515,375869026,R.J. Palacio,2012,Wonder,eng,4.43,228538
233093,039480001X,Dr. Seuss,1957,The Cat in the Hat,eng,4.15,314016
11235712,312641893,Marissa Meyer,2012,Cinder,eng,4.15,427663
16160797,316206849,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,en-US,3.83,297712
6068551,545123267,Maggie Stiefvater,2009,Shiver,eng,3.78,356625
662,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,eng,3.68,283295
49436,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea ,en-US,3.64,283516
13023,517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,,eng,4.03,343252
1232,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,La sombra del viento,eng,4.24,263685
7631105,385738757,James Dashner,2010,The Scorch Trials,eng,3.93,305643
4865,,Dale Carnegie,1936,How to Win Friends and Influence People,eng,4.13,282623
480479,767900383,Frances Mayes,1996,Under the Tuscan Sun,eng,3.72,279264
19486412,399167064,Liane Moriarty,2014,Big Little Lies,eng,4.2,306186
24337,590920685,Gail Carson Levine,1997,Ella Enchanted,eng,3.97,339117
3876,743297334,Ernest Hemingway,1926,The Sun Also Rises,en-US,3.83,284988
14891,61120073,Betty  Smith,1943,A Tree Grows In Brooklyn ,eng,4.24,291909
13148,446677388,James Patterson,1995,Kiss the Girls,eng,3.93,274639
21853621,312577222,Kristin Hannah,2015,The Nightingale,eng,4.54,253606
6334,1400078776,Kazuo Ishiguro,2005,Never Let Me Go,eng,3.8,294123
366522,786890754,Cecelia Ahern,2003,"PS, I Love You",en-US,4.01,262921
12873,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca,en-US,4.2,177384
18373,156030306,Daniel Keyes,1966,Flowers for Algernon,en-US,4.07,313044
6952,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Como agua para chocolate,en-US,3.94,263199
1103,812968069,Lisa See,2005,Snow Flower and the Secret Fan,eng,4.05,280475
22034,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,eng,4.36,256480
49750,525476881,John Green,2006,An Abundance of Katherines,eng,3.63,312754
29579,553803719,Isaac Asimov,1951,Foundation,eng,4.13,279688
15783514,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane,eng,3.99,293844
30118,60513063,Shel Silverstein,1981,A Light in the Attic,eng,4.34,297861
29056083,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and Two",eng,3.75,270603
11614718,61726834,Lauren Oliver,2011,Delirium,eng,3.99,256975
32499,385339704,John Grisham,1992,The Pelican Brief,eng,3.95,288376
17061,61139378,Neil Gaiman,2002,Coraline,eng,4.03,316379
12067,60853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US,4.25,298304
70401,140042598,Jack Kerouac,1955,On the Road,eng,3.64,246602
16181775,1476729085,Graeme Simsion,2013,The Rosie Project,eng,4.01,251703
3063499,446579939,Nicholas Sparks,2008,The Lucky One,en-US,4.1,267166
2122,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,eng,3.85,244545
19691,425172902,Tom Clancy,1984,The Hunt for Red October,,4.01,270318
76620,038039586X,Richard Adams,1972,Watership Down,eng,4.05,292426
10335308,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),eng,3.84,290674
3591262,375414495,Abraham Verghese,2009,Cutting for Stone,eng,4.28,258319
140225,006112527X,"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader,eng,4.08,306492
295,753453800,Robert Louis Stevenson,1882,Treasure Island,eng,3.82,268012
9520360,1423140591,Rick Riordan,2011,The Son of Neptune ,eng,4.44,299980
10644930,1451627289,Stephen King,2011,11/22/63,eng,4.29,258464
4948,241003008,Eric Carle,1969,The Very Hungry Caterpillar,eng,4.29,296952
135479,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle,eng,4.18,238940
2493,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,eng,3.87,276076
7933292,849946158,"Todd Burpo, Lynn Vincent",2010,,eng,4.01,228371
39999,385751060,John Boyne,2006,The Boy in the Striped Pyjamas,eng,4.1,285692
4900,1892295490,Joseph Conrad,1899,Heart of Darkness,eng,3.42,255576
7812659,044654759X,Nicholas Sparks,2010,Safe Haven,eng,4.19,255531
52529,1582701709,Rhonda Byrne,2006,The Secret,eng,3.62,241537
227711,60987561,Wally Lamb,1998,I Know This Much Is True ,eng,4.17,246917
10583,1416524347,Stephen King,1983,Pet Sematary,eng,3.91,256383
5203,671021001,Wally Lamb,1992,She's Come Undone,en-US,3.84,259576
1215032,756404738,Patrick Rothfuss,2011,The Wise Man's Fear,eng,4.57,245686
33724,440241901,Sophie Kinsella,2003,Can You Keep a Secret?,en-US,3.83,278747
6752378,1442403543,Cassandra Clare,2011,City of Fallen Angels,en-US,4.16,341826
14748,743418174,Jennifer Weiner,2001,Good in Bed,en-US,3.7,248804
3412,380018179,Colleen McCullough,1977,The Thorn Birds,eng,4.22,255651
2213661,60530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book,en-US,4.12,302303
13158800,1451681739,M.L. Stedman,2012,The Light Between Oceans,eng,4,243526
28194,439709105,"Cornelia Funke, Anthea Bell",2003,Tintenherz,en-US,3.86,285011
4894,91883768,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?,eng,3.74,237272
9791,307279464,Bill Bryson,1997,A Walk in the Woods,eng,4.05,250192
13214,553279378,Maya Angelou,1969,I Know Why the Caged Bird Sings,en-US,4.19,270859
15818107,61950726,Christina Baker Kline,2013,Orphan Train,eng,4.14,226091
8755776,1442416866,Cassandra Clare,2012,City of Lost Souls,eng,4.3,300553
13526165,316204277,Maria Semple,2012,"Where'd You Go, Bernadette",eng,3.9,215453
10365,375806814,Wilson Rawls,1961,Where the Red Fern Grows,,4.04,268548
14497,60557818,Neil Gaiman,1996,Neverwhere,eng,4.18,268318
